Sr. No.,Scrip Code,Name of Company,,
1,500325,Reliance Industries Ltd,,
2,532540,Tata Consultancy Services Ltd.,,
3,500180,HDFC Bank Ltd.,,
4,500209,Infosys Ltd,,
5,500696,"Hindustan Unilever Ltd.,",,
6,532174,ICICI Bank Ltd.,,
7,543526,LIFE INSURANCE CORPORATION OF INDIA,,
8,500112,"State Bank Of India,",,
9,500010,Housing Development Finance Corp.Lt,,
10,500034,Bajaj Finance Limited,,
11,532454,Bharti Airtel  Ltd.,,
12,500247,Kotak Mahindra Bank Ltd.,,
13,541450,Adani Green Energy Limited,,
14,500875,ITC Ltd,,
15,500820,Asian Paints Ltd.,,
16,539254,Adani Transmission Limited,,
17,532281,HCL Technologies Ltd,,
18,542066,ADANI TOTAL GAS LIMITED,,
19,507685,"Wipro  Ltd.,",,
20,512599,Adani Enterprises Ltd.,,
21,540376,Avenue Supermarts Limited,,
22,532500,Maruti Suzuki India  Ltd.,,
23,500510,Larsen & Toubro Limited,,
24,532978,Bajaj Finserv Limited,,
25,532215,AXIS Bank Ltd.,,
26,524715,Sun Pharmaceutical Industries Ltd.,,
27,500114,Titan Company Limited,,
28,500312,Oil And Natural Gas Corporation Ltd,,
29,532538,UltraTech Cement Ltd,,
30,500790,Nestle India Ltd.,,
31,532921,Adani Ports and Special Economic Zone Ltd,,
32,532898,POWER GRID CORPORATION OF INDIA LIMITED,,
33,500228,JSW Steel Limited,,
34,532555,NTPC Limited,,
35,500570,Tata Motors Ltd.,,
36,500470,TATA STEEL LIMITED,,
37,500188,"Hindustan Zinc Ltd.,",,
38,500520,Mahindra & Mahindra Ltd.,,
39,533278,Coal India Limited,,
40,500331,Pidilite Industries Ltd.,,
41,500295,Vedanta Limited,,
42,540777,HDFC LIFE INSURANCE COMPANY LIMITED,,
43,532755,Tech Mahindra Limited,,
44,540719,SBI Life Insurance Company Limited,,
45,532977,Bajaj Auto Limited,,
46,530965,Indian Oil Corporation Ltd.,,
47,532488,Divi's Laboratories Ltd.,,
48,533096,Adani Power Limited,,
49,500440,Hindalco Industries Ltd.,,
50,500300,"Grasim Industries Ltd.,",,
51,500096,Dabur India Ltd.,,
52,500550,"Siemens Ltd.,",,
53,532868,DLF LIMITED,,
54,540005,Larsen & Toubro Infotech Limited,,
55,500825,"Britannia Industries Ltd.,",,
56,532424,Godrej Consumer Products Ltd.,,
57,500087,"Cipla Ltd.,",,
58,500387,"Shree Cements Ltd.,",,
59,543458,Adani Wilmar Limited,,
60,543066,SBI CARDS AND PAYMENT SERVICES LIMITED,,
61,517354,Havells India Limited,,
62,505200,Eicher Motors Ltd.,,
63,540133,ICICI Prudential Life Insurance Company Limited,,
64,500400,Tata Power Co. Ltd,,
65,500547,"Bharat Petroleum Corpn. Ltd.,",,
66,532187,IndusInd Bank Ltd.,,
67,500425,Ambuja Cements Ltd.,,
68,503806,"SRF Ltd.,",,
69,543384,FSN E-Commerce Ventures Limited,,
70,500800,TATA CONSUMER PRODUCTS LIMITED,,
71,500124,"Dr. Reddy's Laboratories Ltd.,",,
72,539448,InterGlobe Aviation Limited,,
73,531642,Marico Limited,,
74,532155,Gail (India) Ltd.,,
75,509480,Berger Paints India Ltd,,
76,540716,ICICI Lombard General Insurance Company Limited ,,
77,508869,"Apollo Hospitals Enterprises Ltd.,",,
78,532432,United Spirits Limited,,
79,500049,"Bharat Electronics Ltd.,",,
80,541154,Hindustan Aeronautics Limited,,
81,517334,Samvardhana Motherson International Limited,,
82,512070,UPL Limited,,
83,511243,Cholamandalam Investment and Finance Company Ltd,,
84,500490,Bajaj Holdings & Investment Limited,,
85,534816,INDUS TOWERS LIMITED,,
86,532134,Bank Of Baroda,,
87,532819,MindTree  Limited,,
88,542830,Indian Railway Catering & Tourism Corporation Ltd,,
89,532777,Info Edge(India) Ltd.,,
90,543320,Zomato Limited,,
91,500182,Hero MotoCorp Limited,,
92,500408,Tata Elxsi Ltd,,
93,543287,Macrotech Developers Limited,,
94,500002,ABB India Limited,,
95,540180,Varun Beverages Limited,,
96,526299,Mphasis Limited,,
97,532827,Page Industries Ltd.,,
98,500420,Torrent Pharmaceuticals Ltd.,,
99,541153,Bandhan Bank Limited,,
100,533398,MUTHOOT FINANCE LIMITED,,
101,543245, Gland Pharma Limited,,
102,533148,JSW Energy Limited,,
103,500459,Procter & Gamble Hygiene & Health Care Ltd.,,
104,500302,Piramal Enterprises Limited,,
105,500530,Bosch Ltd,,
106,532286,Jindal Steel & Power Ltd,,
107,543396,One 97 Communications Limited,,
108,523642,PI Industries Limited,,
109,500251,Trent Ltd [Lakme Ltd],,
110,541729,HDFC Asset Management Company Limited,,
111,500830,"Colgate-Palmolive (India) Ltd.,",,
112,500116,IDBI Bank Ltd,,
113,502355,"Balkrishna Industries Ltd.,",,
114,500410,ACC Ltd,,
115,543529,Delhivery Limited,,
116,540115,L&T Technology Services Limited,,
117,532478,United Breweries Ltd.,,
118,532523,Biocon Ltd.,,
119,540611,AU Small Finance Bank Limited,,
120,531344,Container Corporation Of India Ltd.,,
121,533150,Godrej Properties Limited,,
122,532483,Canara Bank,,
123,500477,"Ashok Leyland Ltd.,",,
124,526371,NMDC Ltd,,
125,500488,Abbott India Ltd.,,
126,543412,Star Health and Allied Insurance Company Limited,,
127,539523,Alkem Laboratories Limited,,
128,532830,ASTRAL LIMITED,,
129,532321,Zydus Lifesciences Limited,,
130,532461,Punjab National Bank,,
131,500368,Patanjali Foods Limited,,
132,500104,Hindustan Petroleum Corporation Ltd,,
133,533155,Jubilant Foodworks Limited,,
134,500575,"Voltas Ltd.,",,
135,543220,Max Healthcare Institute Limited,,
136,542652,Polycab India Limited,,
137,532343,TVS Motor Company Ltd.,,
138,505790,Schaeffler India Limited,,
139,500113,"Steel Authority of India Ltd.,",,
140,540762,Tube Investments of India Ltd,,
141,543300,Sona BLW Precision Forgings Limited,,
142,532648,Yes Bank Ltd.,,
143,524804,Aurobindo Pharma Ltd.,,
144,539336,Gujarat Gas Limited,,
145,500850,Indian Hotels Co. Ltd,,
146,532388,Indian Overseas Bank,,
147,517174,Honeywell Automation India Ltd.,,
148,511218,Shriram Transport Finance Co. Ltd.,,
149,533098,NHPC Limited,,
150,532522,PETRONET LNG LTD.,,
151,542812,Gujarat Fluorochemicals Limited,,
152,500493,Bharat Forge Ltd,,
153,533273,OBEROI REALTY LIMITED,,
154,500290,"M.R.F. Ltd.,",,
155,500257,Lupin Ltd,,
156,500483,Tata Communications Limited,,
157,500480,"Cummins India Ltd.,",,
158,532810,Power Finance Corporation Ltd,,
159,540222,Laurus Labs Limited,,
160,533179,Persistent Systems Limited,,
161,524208,Aarti Industries Ltd,,
162,532822,VODAFONE IDEA LIMITED,,
163,532466,Oracle Financial Services Software Limited,,
164,523457,Linde India Limited,,
165,543390,PB Fintech Limited,,
166,543257,Indian Railway Finance Corporation,,
167,532539,UNO Minda Limited,,
168,500093,CG Power and Industrial Solutions Limited,,
